dw_note	percent_missing_in_36_mos	demographics	loan	credit	LC_calcs	outcomes	unstructured	categorical	date_format	LoanStatNew	description	cid	name	type	notnull	dflt_value	pk
	100.0			1						inq_last_12m	Number of credit inquiries in past 12 months	74	inq_last_12m	FLOAT	0		0
	0.0				1					int_rate	Interest Rate on the loan	7	int_rate	TEXT	0		0
	0.0				1					installment	The monthly payment owed by the borrower if the loan originates.	8	installment	FLOAT	0		0
	0.0				1			1		grade	LC assigned loan grade	9	grade	TEXT	0		0
	0.0				1			1		sub_grade	LC assigned loan subgrade	10	sub_grade	TEXT	0		0
	0.0				1			1		is_inc_v	"Indicates if income was verified by LC, not verified, or if the income source was verified"	15	verification_status	TEXT	0		0
	0.0				1			1		initial_list_status	"The initial listing status of the loan. Possible values are Ð W, F"	36	initial_list_status	TEXT	0		0
	100.0				1			1		policy_code	"publicly available policy_code=1, new products not publicly available policy_code=2"	52	policy_code	FLOAT	0		0
	100.0				1			1		verified_status_joint	"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified"	56	verification_status_joint	TEXT	0		0
	0.0					1				funded_amnt	The total amount committed to that loan at that point in time.	4	funded_amnt	FLOAT	0		0
	0.0					1				funded_amnt_inv	The total amount committed by investors for that loan at that point in time.	5	funded_amnt_inv	FLOAT	0		0
	0.0					1			%b-%Y	issue_d	The month which the loan was funded	16	issue_d	TEXT	0		0
	0.0					1		1		loan_status	Current status of the loan	17	loan_status	TEXT	0		0
	0.0					1		1		pymnt_plan	Indicates if a payment plan has been put in place for the loan	18	pymnt_plan	TEXT	0		0
	0.0					1				out_prncp	Remaining outstanding principal for total amount funded	37	out_prncp	FLOAT	0		0
	0.0					1				out_prncp_inv	Remaining outstanding principal for portion of total amount funded by investors	38	out_prncp_inv	FLOAT	0		0
	0.0					1				total_pymnt	Payments received to date for total amount funded	39	total_pymnt	FLOAT	0		0
	0.0					1				total_pymnt_inv	Payments received to date for portion of total amount funded by investors	40	total_pymnt_inv	FLOAT	0		0
	0.0					1				total_rec_prncp	Principal received to date	41	total_rec_prncp	FLOAT	0		0
	0.0					1				total_rec_int	Interest received to date	42	total_rec_int	FLOAT	0		0
	0.0					1				total_rec_late_fee	Late fees received to date	43	total_rec_late_fee	FLOAT	0		0
	0.0					1				recoveries	post charge off gross recovery	44	recoveries	FLOAT	0		0
	0.0					1				collection_recovery_fee	post charge off collection fee	45	collection_recovery_fee	FLOAT	0		0
	0.2					1			%b-%Y	last_pymnt_d	Last month payment was received	46	last_pymnt_d	TEXT	0		0
	0.0					1				last_pymnt_amnt	Last total payment amount received	47	last_pymnt_amnt	FLOAT	0		0
	92.7					1			%b-%Y	next_pymnt_d	Next scheduled payment date	48	next_pymnt_d	TEXT	0		0
